# The analysis results in this file have been extracted from a superset of the
#
#   Multi-INstrument Burst ARchive (MINBAR) data release 1
#
# comprising analyses of thermonuclear (type-I) X-ray bursts observed by
# the Rossi X-ray Timing Explorer (RXTE), BeppoSAX, and INTEGRAL.
#
# The data has been generated by a query from the web interface at
#
#   http://burst.sci.monash.edu
#
# Some of the data provided here may be PRELIMINARY and NOT SUITABLE FOR 
# PUBLICATION. For the definitive version of the analysis results comprising
# data release 1, download the machine-readable tables available at
#
#   https://doi.org/10.26180/5e4a697d9b8b6
#
# For more information, see the preprint at http://arxiv.org/abs/2003.00685 
# or contact the PI Duncan.Galloway@monash.edu
#
# The last comment line before the data gives the column field names, which
# are also described below:
#   name = Likely burst origin
#   time = Burst start time (MJD UT)
#   instr = Instrument label
#   type = Burst type (1=thermonuclear, 2=accretion instability, 3=superburst, 4
#   tau = Ratio of fluence to peak flux, tau
#   taue = Uncertainty on tau
#   rad = Blackbody normalisation at burst peak
#   rade = Uncertainty on blackbody normalisation at burst peak
#   instr = Instrument label
#   bfluen = Bolometric fluence (integrated bolometric flux), E_b
#   bfluene = Uncertainty on bolometric fluence
#   rexp = Photospheric radius-expansion flag
#   rise = Burst rise time
#   risee = Error on burst rise
#   sflag = Data quality/analysis flags
#   bnum = Order of the event within the observation
#   edt = Decay constant for exponential fit to profile
#   edte = Error on decay constant
#   hc = Hard colour
#   obsid = Observation ID
#   id = Entry value for RXTE IDL database (internal use only)
#   nh = Absorption column density for blackbody fit
#   nhe = Uncertainty on absorption column density
#   bpflux = Bolometric peak flux (from blackbody fit)
#   bpfluxe = Uncertainty on bolometric peak flux
#   xref = Burst ID in external catalog (G08 or C17)
#   angle = Angle between the source position and pointing axis
#   s_z = Position on the colour-colour diagram, S_Z
#   pcount = Peak count rate
#   pcounte = 1-sigma error on peak count rate
#   ra = R.A. of origin, where known [decimal hours, J2000]
#   baryshift = Add to time to get the arrival time at SS barycentre
#   dur = Burst duration
#   dure = Uncertainty on burst duration
#   type = Burst type (1=thermonuclear, 2=accretion instability, 3=superburst, 4
#   entry_obs = MINBAR observation ID in which this burst falls
#   added = Date burst added [dd-mm-yyy]
#   bc = Bolometric correction adopted for persistent flux
#   bce = Uncertainty on bolometric correction
#   kt = Blackbody temperature kT at burst peak
#   kte = Uncertainty on blackbody temperature kT at burst peak
#   flag = Numeric flag for analysis conditions
#   fluen = Integrated photon flux
#   fluene = Uncertainty on integrated photon flux
#   alpha = Ratio of integrated persistent flux to burst fluence, alpha
#   alphae = Uncertainty on alpha
#   tdel = Time since previous burst from this source
#   mult = Number of MINBAR instruments which detected this event [1,2]
#   pflux = Peak photon flux
#   pfluxe = Uncertainty on peak photon flux
#   name = Likely burst origin
#   vigcorr = Vignetting correction factor
#   trec = Inferred recurrence time
#   perflx = Persistent 3-25 keV flux prior to the burst, F_per
#   perflxe = Uncertainty on persistent flux
#   refs = References for this burst
#   refs = References for this burst
#   time = Burst start time (MJD UT)
#   sc = Soft colour
#   entry = Entry or Record Number
#   dec = Dec of origin, where known [decimal degrees, J2000]
#   gamma = Ratio of persistent flux to peak PRE burst flux, gamma
#
#
# For a complete description of the table fields and units, see
#   https://burst.sci.monash.edu/static/html/columns.html
#
"name"	"time"	"instr"	"type"	"tau"	"taue"	"rad"	"rade"	"instr"	"bfluen"	"bfluene"	"rexp"	"rise"	"risee"	"sflag"	"bnum"	"edt"	"edte"	"hc"	"obsid"	"id"	"nh"	"nhe"	"bpflux"	"bpfluxe"	"xref"	"angle"	"s_z"	"pcount"	"pcounte"	"ra"	"baryshift"	"dur"	"dure"	"type"	"entry_obs"	"added"	"bc"	"bce"	"kt"	"kte"	"flag"	"fluen"	"fluene"	"alpha"	"alphae"	"tdel"	"mult"	"pflux"	"pfluxe"	"name"	"vigcorr"	"trec"	"perflx"	"perflxe"	"refs"	"refs"	"time"	"sc"	"entry"	"dec"	"gamma"
"4U 1728-34"	51086.42287	XPa	1	7.0	0.2	11.2	0.3	XPa	0.7230	0.0102	2.00	1.00	0.03	-	1	5.2	0.059	0.781	30042-03-01-00	271	2.60	-1.00	102.93	2.44	27	0.00	0.968	7216.5	82.5	17.5326	0.0	20.6	1.0	1	15630	16-12-2010	1.540	0.019	2.96	0.04	0	41.456	0.240	0.0	0.0	7.3	1	4.50	0.03	"4U 1728-34"	0.999	0.0	4.561	0.023	45,47,3	45,47,3	51086.42287	0.896	2429	-33.835	0.1143	
"KS 1741-293"	51086.44407	SW2	1	4.5	1.7	7.6	2.9	SW2	0.1258	0.0346	1.12	11.00	1.00	-	1	13.8	4.078	0.756	5454	0	33.00	0.00	30.60	8.41	0	33.60	0.000	1.0	0.3	17.7489	0.0	43.3	13.9	1	7524	7-09-2010	0.000	0.000	2.35	0.38	0	11.344	4.230	0.0	0.0	154.3	1	0.80	0.79	"KS 1741-293"	0.962	0.0	0.401	0.042	-	-	51086.44407	6.470	2097	-29.352	0.0000	
"KS 1731-260"	51086.46597	SW2	1	11.9	2.6	9.6	1.5	SW2	0.3866	0.0563	1.10	3.10	1.00	-	2	15.1	2.769	0.796	5454	0	1.30	0.00	33.72	5.49	0	240.10	1.252	2.1	0.5	17.5704	0.0	47.0	9.7	1	6489	7-09-2010	1.400	0.000	2.15	0.18	0	31.993	7.228	43.2	16.1	3.2	1	2.04	0.51	"KS 1731-260"	0.746	3.2	1.038	0.354	19	19	51086.46597	0.628	578	-26.089	0.0517	
"4U 1728-34"	51086.52160	SW2	1	4.8	1.1	9.2	1.5	SW2	0.3292	0.0459	1.94	3.40	1.00	-	3	3.2	0.909	0.880	5454	0	2.60	0.00	71.99	12.45	0	347.45	0.942	4.4	0.6	17.5326	0.0	11.5	4.2	1	5953	7-09-2010	0.000	0.000	2.68	0.26	0	17.743	4.101	0.0	0.0	2.4	1	3.59	0.54	"4U 1728-34"	0.650	0.0	4.282	1.160	19	19	51086.52160	0.902	208	-33.835	0.0985	
"4U 1702-429"	51086.53057	SW2	1	4.1	1.9	14.2	4.6	SW2	0.3248	0.1090	1.82	1.30	1.00	-	4	6.7	2.658	0.761	5454	0	1.87	0.00	91.04	30.56	0	974.60	1.159	5.4	1.5	17.1043	0.0	19.0	8.0	1	3095	7-09-2010	0.000	0.000	2.20	0.43	0	29.039	12.209	0.0	0.0	234.9	1	4.61	1.43	"4U 1702-429"	0.180	0.0	1.303	0.156	19	19	51086.53057	0.649	1389	-43.036	0.0314	
"KS 1741-293"	51086.58815	SW2	1	5.1	2.4	24.6	11.4	SW2	0.2256	0.0651	1.31	1.10	1.00	-	5	8.6	2.381	0.756	5454	0	33.00	0.00	53.63	21.91	0	33.60	0.000	1.7	0.4	17.7489	0.0	23.6	7.9	1	7524	7-09-2010	0.000	0.000	1.60	0.28	0	11.414	3.609	0.0	0.0	3.5	1	1.51	0.37	"KS 1741-293"	0.962	0.0	0.401	0.041	-	-	51086.58815	6.470	2098	-29.352	0.0000	
"4U 1728-34"	51086.73676	SW2	1	3.9	0.8	8.6	1.2	SW2	0.4428	0.0641	1.87	0.50	1.00	d	6	5.3	0.743	0.880	5454	0	2.60	0.00	116.16	18.11	0	347.45	0.942	4.9	1.1	17.5326	0.0	15.4	2.5	1	5953	7-09-2010	0.000	0.000	2.95	0.24	8	25.580	3.743	0.0	0.0	5.2	1	4.16	0.99	"4U 1728-34"	0.650	0.0	4.282	1.157	19	19	51086.73676	0.902	209	-33.835	0.0985	
"4U 1728-34"	51086.84609	SW2	1	2.6	0.6	10.4	1.9	SW2	0.3844	0.0494	1.95	2.50	1.00	-	7	4.8	1.463	0.880	5454	0	2.60	0.00	154.89	32.66	0	347.45	0.942	4.9	0.6	17.5326	0.0	12.9	4.6	1	5953	7-09-2010	0.000	0.000	3.14	0.36	0	21.121	3.920	0.0	0.0	2.6	1	4.06	0.56	"4U 1728-34"	0.650	0.0	4.282	1.158	19	19	51086.84609	0.902	210	-33.835	0.0985	
"4U 1812-12"	51086.91417	SW2	1	12.6	2.7	20.5	3.5	SW2	3.8794	0.3801	2.00	8.30	1.00	-	8	18.5	2.351	0.000	5454	0	1.55	0.00	322.13	62.07	0	1088.94	0.000	14.7	2.3	18.2517	0.0	54.5	8.0	1	12262	7-09-2010	0.000	0.000	2.41	0.25	0	250.015	34.494	0.0	0.0	8742.2	1	15.12	2.22	"4U 1812-12"	0.107	0.0	0.552	0.132	98	98	51086.91417	0.000	1307	-12.096	0.0090	
"4U 1702-429"	51086.91763	SW2	1	7.0	4.7	4.9	2.1	SW2	0.7626	0.3543	1.53	8.50	1.00	-	9	10.5	3.777	0.761	5454	0	1.87	0.00	199.84	127.35	0	974.60	1.159	3.3	1.2	17.1043	0.0	27.9	11.5	1	3095	7-09-2010	0.000	0.000	3.55	1.01	0	33.928	7.851	0.0	0.0	9.3	1	3.65	1.20	"4U 1702-429"	0.180	0.0	1.303	0.154	19	19	51086.91763	0.649	1390	-43.036	0.0314	
"4U 1735-444"	51086.92608	SW2	1	3.6	1.7	19.5	6.8	SW2	0.1422	0.0485	1.89	0.30	1.00	-	10	2.3	1.212	0.773	5454	0	0.14	0.00	45.24	15.44	0	933.31	0.000	3.5	1.1	17.6495	0.0	6.1	3.7	1	6995	7-09-2010	0.000	0.000	1.60	0.30	0	10.331	4.523	0.0	0.0	224.9	1	3.88	1.11	"4U 1735-444"	0.220	0.0	2.688	0.164	-	-	51086.92608	0.459	2045	-44.450	0.1778	
"GX 3+1"	51086.94095	SW2	1	3.8	1.1	14.0	3.6	SW2	0.1419	0.0238	1.70	2.20	1.00	-	11	4.7	1.568	0.355	5454	0	1.59	0.00	40.07	9.62	0	145.53	0.000	3.0	0.4	17.7989	0.0	13.1	5.3	1	9110	7-09-2010	0.000	0.000	2.10	0.28	0	11.906	3.132	0.0	0.0	50.5	1	2.57	0.40	"GX 3+1"	0.873	0.0	4.935	0.038	19,66	19,66	51086.94095	0.632	461	-26.564	0.2130	
"KS 1731-260"	51086.99611	SW2	1	10.2	1.9	8.4	1.3	SW2	0.5419	0.0598	1.47	3.60	1.00	-	12	13.9	1.961	0.796	5454	0	1.30	0.00	55.32	8.95	0	240.10	1.252	2.8	0.5	17.5704	0.0	40.8	6.7	1	6489	7-09-2010	1.400	0.000	2.58	0.22	0	38.107	6.319	31.7	11.1	12.7	1	2.76	0.51	"KS 1731-260"	0.746	3.2	1.038	0.356	19	19	51086.99611	0.628	579	-26.089	0.0517	
"GS 1826-24"	51087.04935	SW2	1	20.0	4.8	8.6	1.4	SW2	0.7241	0.1149	1.00	13.70	1.00	-	13	37.5	9.001	0.911	5454	0	0.40	0.00	37.94	6.91	0	652.70	0.000	2.5	0.6	18.4912	0.0	97.8	27.4	1	13141	7-09-2010	0.000	0.000	2.26	0.23	0	55.417	14.817	0.0	0.0	17.0	1	2.06	0.64	"GS 1826-24"	0.401	0.0	0.845	0.451	19,101,102	19,101,102	51087.04935	0.527	1127	-23.791	0.0561	
"4U 1728-34"	51087.05491	SW2	1	3.4	0.8	8.8	1.3	SW2	0.2789	0.0475	1.93	2.40	1.00	-	14	2.7	0.716	0.880	5454	0	2.60	0.00	85.20	14.52	0	347.45	0.942	4.9	0.6	17.5326	0.0	9.7	3.2	1	5953	7-09-2010	0.000	0.000	2.82	0.26	0	18.732	3.687	0.0	0.0	5.0	1	4.25	0.58	"4U 1728-34"	0.650	0.0	4.282	1.160	19	19	51087.05491	0.902	211	-33.835	0.0985	
"KS 1731-260"	51087.12269	SW2	1	9.0	1.7	7.8	1.2	SW2	0.4890	0.0536	1.38	2.20	1.00	-	15	10.1	2.237	0.796	5454	0	1.30	0.00	56.09	8.92	0	240.10	1.252	2.8	0.5	17.5704	0.0	32.4	8.7	1	6489	7-09-2010	1.400	0.000	2.68	0.23	0	33.263	7.055	32.6	11.8	3.0	1	2.73	0.51	"KS 1731-260"	0.746	3.0	1.038	0.356	19	19	51087.12269	0.628	580	-26.089	0.0517	
"1A 1742-294"	51087.19047	SW2	1	6.1	2.1	6.3	1.8	SW2	0.2013	0.0438	1.08	5.10	1.00	-	16	41.0	19.221	1.000	5454	0	1.16	0.00	36.41	10.05	0	33.63	0.000	0.8	0.3	17.7682	0.0	80.8	43.2	1	8047	7-09-2010	0.000	0.000	2.20	0.34	0	15.249	7.358	0.0	0.0	22.6	1	0.87	0.29	"1A 1742-294"	0.968	0.0	0.571	0.279	19	19	51087.19047	0.615	916	-29.515	0.0319	
"KS 1731-260"	51087.24910	SW2	1	14.6	4.5	15.9	5.1	SW2	0.4180	0.0500	1.32	9.40	1.00	-	17	9.0	1.743	0.796	5454	0	1.30	0.00	31.80	8.99	0	240.10	1.252	2.0	0.5	17.5704	0.0	33.3	6.7	1	6489	7-09-2010	1.400	0.000	1.77	0.27	0	27.679	5.942	38.7	13.6	3.0	1	1.75	0.50	"KS 1731-260"	0.746	3.0	1.038	0.356	19	19	51087.24910	0.628	581	-26.089	0.0517	
"4U 1702-429"	51087.26091	SW2	1	11.5	6.2	23.4	12.2	SW2	0.2836	0.1145	1.13	4.50	1.00	-	18	12.3	8.034	0.761	5454	0	1.87	0.00	29.92	12.08	0	974.60	1.159	2.3	1.2	17.1043	0.0	31.0	23.2	1	3095	7-09-2010	0.000	0.000	1.13	0.28	0	16.709	10.828	0.0	0.0	8.2	1	2.09	0.93	"4U 1702-429"	0.180	0.0	1.303	0.153	19	19	51087.26091	0.649	1391	-43.036	0.0314	
"GX 3+1"	51087.26476	SW2	1	3.7	0.7	13.3	1.9	SW2	0.1951	0.0227	1.90	1.20	1.00	-	19	4.7	0.980	0.355	5454	0	1.59	0.00	54.85	7.60	0	145.53	0.000	4.0	0.4	17.7989	0.0	12.9	3.4	1	9110	7-09-2010	0.000	0.000	2.16	0.17	0	16.741	3.195	0.0	0.0	7.8	1	3.80	0.45	"GX 3+1"	0.873	0.0	4.935	0.038	19,66	19,66	51087.26476	0.632	462	-26.564	0.2130	
"2S 1711-339"	51087.26890	SW2	1	6.1	2.1	14.7	4.1	SW2	0.2046	0.0453	1.10	2.00	1.00	-	20	12.6	4.535	0.672	5454	0	1.50	0.00	36.93	9.98	0	513.92	0.000	2.3	0.6	17.2388	0.0	33.9	13.3	1	4906	7-09-2010	0.000	0.000	1.85	0.29	0	23.273	7.938	0.0	0.0	22.4	1	2.28	0.61	"2S 1711-339"	0.500	0.0	0.904	0.059	10	10	51087.26890	0.495	2168	-34.046	0.0000	
"GS 1826-24"	51087.28299	SW2	1	29.6	7.2	10.4	1.9	SW2	0.9363	0.0760	1.00	8.10	1.00	-	21	30.8	3.696	0.911	5454	0	0.40	0.00	34.15	7.91	0	652.70	0.000	2.5	0.4	18.4912	0.0	90.8	9.6	1	13141	7-09-2010	0.000	0.000	2.21	0.25	0	57.061	5.198	0.0	0.0	5.6	1	2.06	0.36	"GS 1826-24"	0.401	0.0	0.845	0.453	19,101,102	19,101,102	51087.28299	0.527	1128	-23.791	0.0561	
"KS 1741-293"	51087.30953	SW2	1	3.9	1.7	8.8	3.6	SW2	0.1231	0.0400	1.15	1.50	1.00	-	22	6.8	2.593	0.756	5454	0	33.00	0.00	36.23	11.77	0	33.60	0.000	1.2	0.4	17.7489	0.0	21.0	9.2	1	7524	7-09-2010	0.000	0.000	2.23	0.39	0	8.371	3.787	0.0	0.0	17.3	1	1.11	0.38	"KS 1741-293"	0.962	0.0	0.401	0.043	-	-	51087.30953	6.470	2099	-29.352	0.0000	
"4U 1728-34"	51087.31501	SW2	1	5.2	1.6	10.5	2.8	SW2	0.4368	0.0544	1.95	1.70	1.00	-	23	5.1	1.072	0.880	5454	0	2.60	0.00	93.99	26.41	0	347.45	0.942	4.1	0.6	17.5326	0.0	16.7	4.3	1	5953	7-09-2010	0.000	0.000	2.72	0.41	0	21.348	4.260	0.0	0.0	6.2	1	3.43	0.54	"4U 1728-34"	0.650	0.0	4.282	1.156	19	19	51087.31501	0.902	212	-33.835	0.0985	
"KS 1741-293"	51087.47043	SW1	1	7.1	2.2	9.5	3.1	SW1	0.2959	0.0539	1.12	4.40	1.00	-	1	13.1	4.363	0.000	5460	0	33.00	0.00	44.78	11.30	0	228.55	0.000	1.1	0.4	17.7489	0.0	37.4	14.6	1	7525	7-09-2010	0.000	0.000	2.36	0.37	0	12.858	4.081	0.0	0.0	3.9	1	0.95	0.31	"KS 1741-293"	0.779	0.0	0.476	0.105	-	-	51087.47043	0.000	2100	-29.352	0.0000	
"4U 1728-34"	51087.51279	SW1	1	4.0	1.7	9.1	2.9	SW1	0.2172	0.0429	1.88	1.20	1.00	-	2	2.6	0.605	0.900	5460	0	2.60	0.00	64.81	24.80	0	497.35	0.949	4.2	0.8	17.5326	0.0	8.8	2.5	1	5954	7-09-2010	0.000	0.000	2.88	0.57	0	20.422	3.812	0.0	0.0	4.7	1	4.19	0.74	"4U 1728-34"	0.561	0.0	3.726	1.170	19	19	51087.51279	0.767	213	-33.835	0.0880	
"GS 1826-24"	51087.51734	SW1	1	17.0	4.1	10.1	1.7	SW1	0.7227	0.1255	1.00	2.70	1.00	-	3	40.6	10.188	0.914	5460	0	0.40	0.00	44.50	7.73	0	687.40	0.000	3.2	0.8	18.4912	0.0	87.2	22.7	1	13142	7-09-2010	0.000	0.000	1.83	0.17	0	59.030	16.192	0.0	0.0	5.6	1	3.15	0.73	"GS 1826-24"	0.412	0.0	0.810	0.452	19,101,102	19,101,102	51087.51734	0.529	1129	-23.791	0.0551	
"4U 1728-34"	51087.61411	SW1	1	4.0	1.6	7.0	1.9	SW1	0.3768	0.0566	1.89	1.10	1.00	-	4	5.8	1.183	0.900	5460	0	2.60	0.00	113.63	42.85	0	497.35	0.949	4.8	0.6	17.5326	0.0	16.1	3.6	1	5954	7-09-2010	0.000	0.000	3.61	0.65	0	26.012	4.161	0.0	0.0	2.4	1	4.22	0.59	"4U 1728-34"	0.561	0.0	3.726	1.172	19	19	51087.61411	0.767	214	-33.835	0.0880	
"4U 1728-34"	51087.71007	SW1	1	3.4	1.4	7.6	2.1	SW1	0.2990	0.0653	1.88	0.20	1.00	-	5	4.5	0.860	0.900	5460	0	2.60	0.00	104.50	38.12	0	497.35	0.949	4.0	0.7	17.5326	0.0	18.3	4.3	1	5954	7-09-2010	0.000	0.000	3.54	0.63	0	23.162	6.792	0.0	0.0	2.3	1	3.55	0.66	"4U 1728-34"	0.561	0.0	3.726	1.171	19	19	51087.71007	0.767	215	-33.835	0.0880	
"GS 1826-24"	51087.74601	SW1	1	21.4	8.8	10.0	3.7	SW1	0.7497	0.1006	1.00	9.20	1.00	-	6	33.4	6.906	0.914	5460	0	0.40	0.00	42.72	16.37	0	687.40	0.000	2.8	0.7	18.4912	0.0	89.4	21.3	1	13142	7-09-2010	0.000	0.000	2.10	0.41	0	63.897	14.303	0.0	0.0	5.5	1	2.48	0.64	"GS 1826-24"	0.412	0.0	0.810	0.458	19,101,102	19,101,102	51087.74601	0.529	1130	-23.791	0.0551	
"KS 1731-260"	51087.77925	SW1	1	11.9	2.2	7.8	1.2	SW1	0.5763	0.0485	1.23	1.00	1.00	-	7	14.0	1.474	0.957	5460	0	1.30	0.00	50.03	8.43	0	77.09	0.963	2.4	0.4	17.5704	0.0	45.0	4.4	1	6490	7-09-2010	1.400	0.000	2.80	0.24	0	37.793	4.199	40.8	18.5	12.7	1	2.11	0.37	"KS 1731-260"	0.923	3.2	1.401	0.659	19	19	51087.77925	0.697	582	-26.089	0.0668	
"2S 1711-339"	51087.84009	SW1	1	3.5	1.1	16.0	4.6	SW1	0.0662	0.0157	1.08	1.50	1.00	-	8	15.6	6.831	0.544	5460	0	1.50	0.00	20.65	4.90	0	598.75	0.000	1.6	0.5	17.2388	0.0	33.9	17.2	1	4907	7-09-2010	0.000	0.000	1.64	0.24	0	14.036	5.807	0.0	0.0	13.7	1	1.48	0.43	"2S 1711-339"	0.438	0.0	0.771	0.119	10	10	51087.84009	0.430	2169	-34.046	0.0000	
"KS 1731-260"	51087.92057	SW1	1	13.9	2.5	8.6	1.3	SW1	0.4888	0.0474	1.13	10.20	1.00	-	9	12.6	1.763	0.957	5460	0	1.30	0.00	36.39	5.67	0	77.09	0.963	2.3	0.4	17.5704	0.0	43.3	6.1	1	6490	7-09-2010	1.400	0.000	2.41	0.20	0	37.158	5.656	51.4	24.1	3.4	1	2.24	0.43	"KS 1731-260"	0.923	3.4	1.401	0.658	19	19	51087.92057	0.697	583	-26.089	0.0668	
"GS 1826-24"	51087.97846	SW1	1	4.1	2.6	5.1	1.9	SW1	0.1852	0.0907	1.00	4.80	1.00	-	10	45.3	10.097	0.914	5460	0	0.40	0.00	61.24	29.97	0	687.40	0.000	3.3	0.8	18.4912	0.0	103.1	25.3	1	13142	7-09-2010	0.000	0.000	3.26	0.72	0	73.622	17.575	0.0	0.0	5.6	1	3.06	0.74	"GS 1826-24"	0.412	0.0	0.810	0.453	19,101,102	19,101,102	51087.97846	0.529	1131	-23.791	0.0551	
"GX 3+1"	51088.04689	SW1	1	3.1	0.9	11.8	3.4	SW1	0.2179	0.0251	1.86	3.50	1.00	-	11	5.4	1.116	0.142	5460	0	1.59	0.00	79.51	22.71	0	122.08	0.000	3.8	0.4	17.7989	0.0	16.8	3.6	1	9111	7-09-2010	0.000	0.000	2.23	0.33	0	15.949	2.667	0.0	0.0	18.8	1	2.88	0.37	"GX 3+1"	0.874	0.0	3.378	0.040	19,66	19,66	51088.04689	0.825	463	-26.564	0.1120	
"KS 1731-260"	51088.05281	SW1	1	8.0	1.4	10.5	1.6	SW1	0.4753	0.0425	1.34	3.50	1.00	-	12	11.0	2.018	0.957	5460	0	1.30	0.00	61.56	9.49	0	77.09	0.963	2.7	0.4	17.5704	0.0	36.5	7.5	1	6490	7-09-2010	1.400	0.000	2.38	0.20	0	34.992	5.464	47.5	21.4	3.2	1	2.36	0.37	"KS 1731-260"	0.923	3.2	1.401	0.661	19	19	51088.05281	0.697	584	-26.089	0.0668	
"4U 1728-34"	51088.17499	SW1	1	4.5	1.0	8.8	1.4	SW1	0.3758	0.0449	1.85	1.00	1.00	-	13	4.5	0.494	0.900	5460	0	2.60	0.00	87.23	15.89	0	497.35	0.949	4.3	0.5	17.5326	0.0	28.9	1.9	1	5954	7-09-2010	0.000	0.000	3.09	0.31	0	23.712	1.928	0.0	0.0	11.2	1	3.99	0.48	"4U 1728-34"	0.561	0.0	3.726	1.168	19	19	51088.17499	0.767	216	-33.835	0.0880	
"KS 1731-260"	51088.18515	SW1	1	13.7	2.3	9.0	1.3	SW1	0.6576	0.0658	1.29	2.20	1.00	-	14	6.5	0.932	0.957	5460	0	1.30	0.00	49.30	6.82	0	77.09	0.963	2.8	0.4	17.5704	0.0	25.4	5.0	1	6490	7-09-2010	1.400	0.000	2.53	0.20	0	30.348	5.036	35.4	15.8	3.2	1	2.83	0.44	"KS 1731-260"	0.923	3.2	1.401	0.663	19	19	51088.18515	0.697	585	-26.089	0.0668	
"1A 1742-294"	51088.20714	SW1	1	8.8	3.6	4.9	1.4	SW1	0.1642	0.0482	1.08	6.50	1.00	-	15	5.6	2.871	0.000	5460	0	1.16	0.00	20.90	6.13	0	243.50	0.000	1.2	0.4	17.7682	0.0	23.8	13.5	1	8048	7-09-2010	0.000	0.000	2.54	0.39	0	10.021	5.474	0.0	0.0	24.4	1	1.07	0.41	"1A 1742-294"	0.760	0.0	0.463	0.255	19	19	51088.20714	0.000	917	-29.515	0.0264	
"GS 1826-24"	51088.21059	SW1	1	16.3	3.4	10.6	1.6	SW1	0.6642	0.0945	1.00	10.30	1.00	-	16	40.7	8.153	0.914	5460	0	0.40	0.00	42.13	6.42	0	687.40	0.000	2.9	0.7	18.4912	0.0	103.8	22.4	1	13142	7-09-2010	0.000	0.000	2.05	0.18	0	73.306	15.555	0.0	0.0	5.6	1	2.77	0.63	"GS 1826-24"	0.412	0.0	0.810	0.456	19,101,102	19,101,102	51088.21059	0.529	1132	-23.791	0.0551	
"4U 1728-34"	51088.26795	SW1	1	4.8	1.0	10.1	1.6	SW1	0.3576	0.0462	1.81	1.60	1.00	-	17	9.0	1.487	0.900	5460	0	2.60	0.00	77.84	12.49	0	497.35	0.949	4.0	0.6	17.5326	0.0	26.2	4.8	1	5954	7-09-2010	0.000	0.000	2.59	0.25	0	30.368	4.951	0.0	0.0	2.2	1	3.35	0.53	"4U 1728-34"	0.561	0.0	3.726	1.176	19	19	51088.26795	0.767	217	-33.835	0.0880	
"SLX 1744-300"	51088.27158	SW1	1	3.5	1.3	9.8	3.0	SW1	0.0945	0.0249	1.17	1.00	1.00	-	18	5.1	2.390	0.000	5460	0	4.50	0.00	29.18	7.70	0	277.84	0.000	1.6	0.4	17.7904	0.0	13.9	7.3	1	8852	7-09-2010	0.000	0.000	1.97	0.30	0	7.643	2.923	0.0	0.0	720.7	1	1.47	0.37	"SLX 1744-300"	0.726	0.0	0.336	0.109	-	-	51088.27158	0.000	1491	-30.045	0.0657	
"KS 1731-260"	51088.31731	SW1	1	13.9	2.4	9.1	1.4	SW1	0.5834	0.0552	1.00	7.80	1.00	-	19	10.8	1.485	0.957	5460	0	1.30	0.00	43.41	6.62	0	77.09	0.963	2.5	0.4	17.5704	0.0	39.8	5.6	1	6490	7-09-2010	1.400	0.000	2.52	0.21	0	36.824	5.529	38.8	18.8	3.2	2	2.29	0.42	"KS 1731-260"	0.923	3.2	1.401	0.673	19	19	51088.31731	0.697	586	-26.089	0.0668	
"KS 1731-260"	51088.31732	XPa	1	16.4	0.5	9.1	0.3	XPa	0.6855	0.0027	1.00	3.00	0.10	-	1	11.6	0.328	0.775	30061-01-02-00	211	1.30	-1.00	42.04	1.24	3	0.30	1.297	3147.9	52.9	17.5704	0.0	41.0	1.5	1	15631	16-12-2010	1.400	0.000	2.62	0.04	0	38.541	0.991	30.0	0.1	3.2	2	2.08	0.02	"KS 1731-260"	0.994	3.2	1.288	0.003	55	55	51088.31732	0.603	2430	-26.089	0.0643	
"4U 1636-536"	51088.47972	SW1	1	7.2	1.9	14.7	2.6	SW1	0.4198	0.0689	1.85	3.10	1.00	-	1	14.3	3.495	0.352	5470	0	0.25	0.00	61.26	12.36	0	928.10	2.254	4.7	0.8	16.6821	0.0	31.0	8.6	1	2639	7-09-2010	0.000	0.000	1.99	0.20	0	29.832	7.089	0.0	0.0	117.8	1	3.79	0.73	"4U 1636-536"	0.229	0.0	4.397	0.098	19	19	51088.47972	0.478	1727	-53.751	0.1587	
"4U 1735-444"	51088.48393	SW1	1	2.7	1.8	5.7	2.2	SW1	0.0871	0.0490	1.76	2.40	1.00	-	2	2.0	0.468	0.819	5470	0	0.14	0.00	44.06	24.77	0	660.40	0.000	3.3	0.6	17.6495	0.0	7.3	2.0	1	6997	7-09-2010	0.000	0.000	2.90	0.69	0	9.003	1.454	0.0	0.0	37.4	1	2.57	0.53	"4U 1735-444"	0.388	0.0	3.120	0.996	-	-	51088.48393	0.477	2046	-44.450	0.2024	
"KS 1731-260"	51088.58508	XPa	1	15.1	0.5	8.5	0.2	XPa	0.6956	0.0027	3.00	3.00	0.10	-	1	9.3	0.169	0.789	30061-01-02-01	212	1.30	-1.00	46.14	1.42	4	0.40	1.257	3450.7	55.8	17.5704	0.0	36.8	1.2	1	15632	16-12-2010	1.575	0.040	2.78	0.04	0	39.102	0.351	34.1	0.9	6.4	1	2.26	0.02	"KS 1731-260"	0.994	3.2	1.304	0.005	55,3	55,3	51088.58508	0.620	2431	-26.089	0.0622	
